transcript_id	symbol	cds_start	cds_stop	transcript_length	cds_length	length_5utr	length_3utr	isopct	expected_counts	tpm
NM_021895	Actn4	97	2836	3811	2739	97	975	100.00	151.98	13.36
NM_146247	Mettl22	71	1253	1313	1182	71	60	100.00	30.00	6.39
NM_007419	Adrb1	0	1401	2491	1401	0	1090	100.00	33.00	5.86
NM_172702	Serinc2	90	1443	1876	1353	90	433	100.00	16.00	2.95
NM_026119	Med4	12	825	1304	813	12	479	100.00	118.00	37.93
NM_023065	Ifi30	32	779	981	747	32	202	100.00	14.00	4.95
NM_001163098	Tchh	0	4800	5823	4800	0	1023	100.00	5.00	0.25
NM_013556	Hprt	146	803	1349	657	146	546	100.00	1186.00	485.75
NM_178719	Mief1	458	1850	5086	1392	458	3236	100.00	51.00	9.12
NM_001167922	Gtf2e2	181	1060	1664	879	181	604	33.33	33.67	9.92
NM_001085409	Steap3	430	1897	3128	1467	430	1231	50.00	15.00	2.54
NM_001171801	Triqk	273	534	1501	261	273	967	50.00	19.50	26.26
NM_010729	Loxl1	326	2150	3338	1824	326	1188	100.00	21.00	2.82
NM_153589	Ano2	304	3313	3927	3009	304	614	100.00	23.00	1.84
NM_198635	Gm5134	58	2074	2836	2016	58	762	100.00	1.00	0.12
NM_031178	Tlr9	106	3205	3471	3099	106	266	100.00	20.00	1.55
NM_138583	Tango2	76	907	1514	831	76	607	100.00	121.00	37.95
NM_001038607	Kcnh1	231	3120	7158	2889	231	4038	71.90	88.47	7.36
NM_008314	Htr5a	502	1576	5576	1074	502	4000	100.00	42.00	9.93
NM_181325	Slc25a15	242	1148	3455	906	242	2307	100.00	24.00	6.84
NM_172801	Otop2	325	2017	2335	1692	325	318	100.00	1.00	0.15
NM_026406	Rnf115	198	1116	2265	918	198	1149	100.00	262.00	73.57
NM_028347	Neil1	0	1170	1170	1170	0	0	100.00	12.00	2.58
NM_008231	Hdgf	307	1021	2245	714	307	1224	100.00	307.01	114.29
NM_021528	Chst12	167	1427	1786	1260	167	359	100.00	67.00	13.32
NM_199364	Lzts1	0	1800	1800	1800	0	0	100.00	170.00	23.14
NM_172739	Arhgap35	713	5213	8393	4500	713	3180	100.00	383.00	20.23
NM_144953	1700019D03Rik	393	714	834	321	393	120	100.00	6.00	6.00
NM_144879	Vash2	424	1492	4030	1068	424	2538	100.00	1.00	0.24
NM_010656	Sspn	27	678	4408	651	27	3730	100.00	21.00	8.69
NM_001024927	Pitpnm3	214	3139	6666	2925	214	3527	100.00	60.00	4.93
NM_175392	Fam73b	381	2163	3547	1782	381	1384	50.00	47.00	6.47
NM_026161	C1qtnf4	223	1204	1365	981	223	161	100.00	1168.00	304.84
NM_172939	Sowahc	122	1661	4512	1539	122	2851	100.00	99.04	15.91
NM_198304	Nup188	6	5286	5670	5280	6	384	100.00	82.00	3.68
NM_145384	Pqlc2	278	1160	2047	882	278	887	100.00	36.00	10.57
NM_175366	Mex3b	318	2049	3416	1731	318	1367	100.00	79.00	11.21
NM_018869	Grk5	831	2604	3167	1773	831	563	100.00	15.00	2.07
NM_172835	Peli3	156	1494	1937	1338	156	443	100.00	54.00	10.07
NM_013872	Pmm1	129	918	1302	789	129	384	61.32	324.16	107.77
NM_025411	Pithd1	109	745	1538	636	109	793	100.00	138.00	58.69
NM_001291358	Pgap2	379	1132	2165	753	379	1033	50.00	11.00	3.86
NM_172704	Dnajc11	33	1713	2944	1680	33	1231	100.00	158.00	23.13
NM_001281803	Def8	197	1544	3877	1347	197	2333	34.16	37.92	7.02
NM_029928	Ptprb	252	6249	11912	5997	252	5663	100.00	30.00	1.18
NM_176971	Rab9b	262	868	3761	606	262	2893	100.00	155.00	69.73
NM_201374	Ccdc155	189	2136	2210	1947	189	74	100.00	1.00	0.13
NM_053078	Nrep	321	528	2223	207	321	1695	25.00	26.50	51.86
NM_027444	Bbx	303	3027	8742	2724	303	5715	100.00	115.00	10.17
NM_001033394	Tmem88b	272	794	3471	522	272	2677	100.00	85.00	45.64
NM_029875	Slc35e3	172	1114	3483	942	172	2369	100.00	95.00	25.93
NM_001033988	Ncoa4	138	2016	4043	1878	138	2027	50.00	278.00	36.20
NM_023514	Mrps9	59	1232	1419	1173	59	187	100.00	62.00	13.32
NM_145401	Prkag2	518	2219	3340	1701	518	1121	100.00	280.00	40.46
NM_172676	Samd10	125	734	2099	609	125	1365	100.00	14.00	6.26
NM_027116	Nkpd1	0	2478	2753	2478	0	275	100.00	1.00	0.10
NM_008707	Nmt1	10	1501	1838	1491	10	337	100.00	571.00	94.86
NM_172525	Arhgap29	111	3912	5090	3801	111	1178	100.00	21.00	1.32
NM_001043317	Cd22	363	2970	4097	2607	363	1127	50.00	0.50	0.05
NM_053079	Slc15a1	32	2162	3123	2130	32	961	100.00	1.00	0.11
NM_007728	Coch	283	1942	2683	1659	283	741	50.00	36.00	5.34
NM_026183	Slc47a1	28	1732	2634	1704	28	902	100.00	1.00	0.14
NM_025340	Sharpin	432	1575	1733	1143	432	158	100.00	151.00	33.36
NM_001024954	Pbx4	5	1142	1347	1137	5	205	100.00	26.00	5.78
NM_018815	Nup210	42	5703	7035	5661	42	1332	100.00	139.00	5.81
NM_001290429	Ccdc106	33	1059	1320	1026	33	261	100.00	47.00	11.68
NM_175138	Dnaic1	198	2304	2491	2106	198	187	100.00	19.00	2.19
NM_008712	Nos1	378	4668	9695	4290	378	5027	100.00	419.00	23.24
NM_013671	Sod2	207	876	3824	669	207	2948	100.00	1219.00	488.96
NM_009873	Cdk6	327	1308	11522	981	327	10214	100.00	6.00	1.57
NM_001134300	Nol4l	209	2249	6400	2040	209	4151	65.55	93.34	11.14
NM_021506	Sh3rf1	270	2946	5181	2676	270	2235	100.00	143.00	12.88
NM_009326	Tcea2	97	997	1163	900	97	166	100.00	68.00	19.52
NM_010752	Mad1l1	59	2213	2640	2154	59	427	100.00	32.00	3.61
NM_001168253	Fam83h	140	3770	4535	3630	140	765	50.00	1.00	0.07
NM_009793	Camk4	355	1765	12331	1410	355	10566	100.00	539.00	95.03
NM_008359	Il17ra	132	2727	3970	2595	132	1243	100.00	44.00	4.09
NM_025869	Dusp26	452	1088	1747	636	452	659	100.00	58.00	24.67
NM_007539	Bdkrb1	86	1091	1421	1005	86	330	100.00	2.00	0.51
NM_011361	Sgk1	84	1380	2455	1296	84	1075	75.77	215.30	41.54
NM_025446	Aig1	199	988	1439	789	199	451	100.00	268.00	89.10
NM_019747	Zfp113	185	1505	6470	1320	185	4965	100.00	14.00	2.65
NM_178716	Tnpo1	119	2816	5391	2697	119	2575	100.00	272.00	24.30
NM_001190327	Tmsb10	231	366	637	135	231	271	33.33	103.67	512.83
NM_007510	Atp6v1e1	65	746	1204	681	65	458	100.00	2692.00	1057.95
NM_001081022	D430042O09Rik	66	4899	6191	4833	66	1292	100.00	46.00	2.26
NM_030176	Spata2l	89	1370	2380	1281	89	1010	100.00	126.00	24.62
NM_027733	Spata24	58	616	710	558	58	94	55.59	15.78	7.82
NM_026304	l7Rn6	206	800	1068	594	206	268	96.17	219.31	101.00
NM_015752	Sufu	207	1665	4525	1458	207	2860	100.00	45.00	7.66
NM_011939	Hsf4	73	1462	1649	1389	73	187	100.00	13.00	2.33
NM_177845	Pla2g4e	428	3056	4477	2628	428	1421	100.00	11.00	1.01
NM_001276461	Asap1	230	3494	6101	3264	230	2607	84.98	164.30	12.06
NM_011436	Sorl1	176	6824	6938	6648	176	114	100.00	2931.00	104.14
NM_001290440	Zscan22	11	1157	2919	1146	11	1762	86.95	31.69	6.98
NM_028281	Pcbd2	5	416	546	411	5	130	100.00	41.00	29.58
NM_026069	Rpl37	69	363	867	294	69	504	100.00	144.06	162.92
NM_001164036	Ly6e	678	1089	2281	411	678	1192	16.67	238.17	171.81
NM_001294259	Dda1	129	357	1856	228	129	1499	59.44	84.98	141.37
NM_026139	Armcx2	1037	3392	3778	2355	1037	386	33.33	93.33	9.60
NM_175132	Synpo2l	159	3087	4440	2928	159	1353	100.00	2.00	0.16
NM_008983	Ptprk	261	4635	6177	4374	261	1542	100.00	270.01	14.68
NM_011196	Ptger3	126	1215	2018	1089	126	803	100.00	18.00	4.19
NM_001010833	Mdc1	185	5312	7352	5127	185	2040	100.00	105.01	4.86
NM_001290537	Otud5	35	1607	3879	1572	35	2272	66.23	142.10	22.32
NM_029354	Mzt2	399	879	1010	480	399	131	100.00	106.00	63.01
NM_001122733	Kit	65	3005	5181	2940	65	2176	58.88	437.63	35.77
NM_133670	Sult1a1	39	831	1370	792	39	539	100.00	50.00	16.55
NM_001013784	E130309D14Rik	157	1057	4002	900	157	2945	100.00	34.00	9.76
NM_032000	Trps1	440	4286	10202	3846	440	5916	100.00	191.00	11.85
NM_153791	Flywch1	267	2289	2509	2022	267	220	100.00	640.00	77.13
NM_009687	Apex1	138	1092	1307	954	138	215	100.00	279.00	75.09
NM_201610	Neil2	118	1108	1914	990	118	806	100.00	3.00	0.78
NM_026007	Eef1g	173	1487	1565	1314	173	78	100.00	525.00	99.81
NM_001277939	Rad51d	205	1129	1721	924	205	592	52.28	16.59	4.63
NM_001243239	Cacfd1	62	449	1286	387	62	837	60.60	27.21	21.20
NM_007511	Atp7b	19	4408	4711	4389	19	303	100.00	6.00	0.33
NM_009497	Vamp2	98	449	2164	351	98	1715	100.00	3114.07	2758.72
NM_011825	Grem2	248	755	3745	507	248	2990	100.00	46.00	25.58
NM_008349	Il10rb	83	1139	1850	1056	83	711	100.00	43.00	10.35
NM_133744	Ccdc71	152	1454	3108	1302	152	1654	100.00	71.00	13.63
NM_176968	Nt5dc1	98	1502	2742	1404	98	1240	100.00	13.00	2.30
NM_133966	Taf5l	124	1894	2890	1770	124	996	100.00	35.00	4.85
NM_001290743	Ppp1r1c	394	670	3804	276	394	3134	100.00	1.00	1.24
NM_008826	Pfkl	113	2456	3717	2343	113	1261	100.00	888.02	91.79
NM_026403	Nop9	81	1992	3828	1911	81	1836	100.00	23.00	2.94
NM_028888	4931428F04Rik	578	1982	3553	1404	578	1571	50.00	14.50	2.57
NM_175023	Rbbp6	398	770	2272	372	398	1502	95.67	180.29	147.92
NM_178930	Gbf1	245	5831	6401	5586	245	570	100.00	276.00	11.70
NM_026048	Cinp	73	712	2029	639	73	1317	100.00	94.00	39.76
NM_001290561	Plp1	168	897	3368	729	168	2471	62.22	10178.72	3700.73
NM_010887	Ndufs4	38	566	1534	528	38	968	100.00	481.00	254.75
NM_009437	Tst	26	920	1096	894	26	176	100.00	117.00	33.83
NM_029447	Nln	158	2273	3780	2115	158	1507	100.00	154.00	17.71
NM_008695	Nid2	81	4293	4884	4212	81	591	100.00	72.00	4.07
NM_001037725	Fam117b	158	1913	5534	1755	158	3621	100.00	306.00	42.78
NM_175425	C1qtnf7	69	939	1274	870	69	335	100.00	6.00	1.79
NM_033585	Pcdhga2	0	2796	4537	2796	0	1741	100.00	121.16	10.43
NM_024177	Mrpl38	91	1234	1411	1143	91	177	100.00	122.00	26.95
NM_007759	Crabp2	148	565	900	417	148	335	100.00	2.00	1.42
NM_172545	Ehmt1	35	3905	5086	3870	35	1181	65.74	123.00	7.58
NM_001303033	Ubr3	49	5731	8081	5682	49	2350	62.58	618.82	25.78
NM_019795	Dnajc7	564	2049	2312	1485	564	263	100.00	659.00	109.95
NM_023141	Tor3a	34	1192	3268	1158	34	2076	100.00	32.00	6.97
NM_172428	Ccdc134	144	834	2045	690	144	1211	100.00	17.00	6.58
NM_028334	Nup37	161	1142	1290	981	161	148	50.00	7.50	1.96
NM_175195	Sppl2b	66	1803	2869	1737	66	1066	100.00	111.00	15.69
NM_177753	Sox21	1395	2226	3797	831	1395	1571	100.00	28.06	8.80
NM_145501	Pi4k2a	67	1507	3771	1440	67	2264	100.00	189.00	32.58
NM_007926	Aimp1	85	1045	1122	960	85	77	100.00	380.00	101.56
NM_024218	Rpl24	159	633	679	474	159	46	100.00	914.00	551.77
NM_153104	Phospho1	275	1079	1910	804	275	831	100.00	33.00	10.74
NM_198831	Mrpl48	120	756	947	636	120	191	100.00	176.00	74.85
NM_008139	Gnaq	495	1575	5634	1080	495	4059	100.00	926.76	217.74
NM_145385	Mlf2	227	971	1544	744	227	573	50.00	503.50	178.88
NM_177449	Lrrc29	985	1486	1923	501	985	437	100.00	1.00	0.56
NM_007741	Col9a2	149	2216	2746	2067	149	530	100.00	14.00	1.65
NM_177030	Dock6	47	6383	6560	6336	47	177	100.00	21.00	0.78
NM_001044384	Timp1	167	785	890	618	167	105	50.00	0.50	0.22
NM_008744	Ntn1	281	2096	5738	1815	281	3642	100.00	27.00	3.64
NM_010158	Khdrbs3	326	1367	1893	1041	326	526	100.00	593.00	145.02
NM_001101502	Zfp703	18	1803	3171	1785	18	1368	93.13	147.11	20.20
NM_025655	Tmigd1	23	809	1366	786	23	557	100.00	1.00	0.33
NM_027574	Krt28	64	1453	1489	1389	64	36	100.00	1.00	0.18
NM_133998	Fam207a	73	733	2428	660	73	1695	100.00	99.00	40.33
NM_026582	Wls	247	1873	2688	1626	247	815	100.00	277.00	41.98
NM_138593	Larp7	168	1881	2121	1713	168	240	100.00	85.00	12.19
NM_028803	Gbe1	204	2313	2988	2109	204	675	100.00	53.00	6.11
NM_181732	Aida	459	1377	3293	918	459	1916	100.00	56.00	15.72
NM_175552	Wdr3	92	2921	3428	2829	92	507	100.00	74.00	6.29
NM_009980	Ctbp2	549	1887	3047	1338	549	1160	100.00	87.01	16.22
NM_010474	Hs3st1	321	1257	1685	936	321	428	100.00	107.00	29.41
NM_001256142	Fsbp	72	972	4572	900	72	3600	100.00	14.00	4.02
NM_023480	Fahd1	201	885	1407	684	201	522	100.00	58.00	22.68
NM_001165256	Dcaf4	64	1663	2028	1599	64	365	100.00	54.00	8.33
NM_172850	Ankmy1	94	3100	3243	3006	94	143	100.00	1.00	0.08
NM_146215	Cmtr2	147	2451	3577	2304	147	1126	100.00	17.00	1.79
NM_020625	Zbtb22	164	2081	2607	1917	164	526	100.00	30.00	3.82
NM_007457	Ap1s1	50	527	1277	477	50	750	100.00	660.00	395.36
NM_001252453	Ptprs	236	4742	5641	4506	236	899	38.94	629.11	33.19
NM_001008233	Plekhn1	51	1887	2210	1836	51	323	100.00	1.00	0.13
NM_001081073	Cep76	162	2142	3979	1980	162	1837	100.00	38.00	4.68
NM_022420	Gprc5b	173	1406	4525	1233	173	3119	100.00	517.00	105.24
NM_172486	Zfp677	329	2234	2912	1905	329	678	100.00	8.30	1.07
NM_146116	Tubb4b	112	1450	1600	1338	112	150	100.00	1952.77	364.11
NM_028935	Zfp558	402	1626	3839	1224	402	2213	100.00	4.00	0.82
NM_027912	Tysnd1	57	1764	2286	1707	57	522	94.62	60.93	8.77
NM_028074	Ddx42	248	3038	4012	2790	248	974	100.00	385.00	33.21
NM_008517	Lta4h	114	1950	2066	1836	114	116	100.00	236.00	31.47
NM_001083807	Rusc1	185	2867	3370	2682	185	503	94.28	727.82	65.40
NM_008552	Mas1	945	1920	4639	975	945	2719	100.00	82.00	21.55
NM_007573	C1qbp	76	916	1165	840	76	249	100.00	260.00	80.58
NM_172806	Btbd7	450	3843	4306	3393	450	463	100.00	13.00	0.92
NM_001286689	Xndc1	539	1757	3246	1218	539	1489	50.00	10.00	2.06
NM_053268	Rasa2	10	2554	5699	2544	10	3145	100.00	80.00	7.59
NM_011242	Rasgrp2	139	1966	2193	1827	139	227	100.00	30.00	4.02
NM_001099633	Dnah9	84	13539	13774	13455	84	235	100.00	61.00	1.06
NM_021876	Eed	451	1777	2060	1326	451	283	100.00	45.00	8.47
NM_053014	Agpat3	184	1315	3439	1131	184	2124	100.00	291.00	65.03
NM_001081098	Zfp362	189	1446	2882	1257	189	1436	100.00	37.00	7.38
NM_009440	Tsx	86	521	819	435	86	298	100.00	1.00	0.67
NM_172804	Syt16	90	1740	2705	1650	90	965	100.00	134.00	20.00
NM_008626	Mrc2	141	4581	5801	4440	141	1220	100.00	23.00	1.23
NM_033564	Mpv17l	49	634	3328	585	49	2694	68.20	135.38	63.48
NM_001033145	1190002N15Rik	206	1499	3950	1293	206	2451	100.00	90.00	17.41
NM_001166416	Med23	113	4244	4946	4131	113	702	100.00	245.00	14.12
NM_133788	Icmt	160	1015	4937	855	160	3922	100.00	76.98	23.39
NM_029663	Eef1d	115	2098	2855	1983	115	757	46.66	241.72	29.73
NM_021028	Tk2	25	838	2400	813	25	1562	100.00	54.00	17.36
NM_016846	Rgl1	207	2514	4760	2307	207	2246	100.00	108.00	11.34
NM_001163833	Msl3l2	440	1556	2140	1116	440	584	100.00	68.00	15.42
NM_019696	Cpxm1	123	2292	2421	2169	123	129	100.00	17.00	1.90
NM_145223	Alms1	115	9871	9984	9756	115	113	100.00	20.00	0.48
NM_001037756	Brms1l	138	1110	2566	972	138	1456	100.00	182.00	47.98
NM_021293	Cd33	77	1082	2488	1005	77	1406	100.00	9.00	2.29
NM_133816	Sh3bp4	342	3231	3673	2889	342	442	100.00	150.00	12.48
NM_001290763	Nmral1	422	1154	1399	732	422	245	52.72	38.49	13.93
NM_172925	Klhl31	89	1994	6257	1905	89	4263	100.00	2.00	0.26
NM_025431	Llph	71	464	1162	393	71	698	100.00	100.00	76.39
NM_019411	Ppp2ca	225	1155	1930	930	225	775	100.00	2571.00	711.64
NM_177215	Ocrl	197	2900	5182	2703	197	2282	100.00	243.00	21.66
NM_001099635	Myh3	44	5867	5992	5823	44	125	100.00	2.01	0.08
NM_177777	D11Wsu47e	406	2083	2196	1677	406	113	100.00	25.00	3.67
NM_198168	Ppp2r5b	597	2091	2708	1494	597	617	100.00	173.00	28.68
NM_001162945	Mtx3	0	939	6275	939	0	5336	100.00	88.00	24.10
NM_172991	Rbm48	345	1587	2330	1242	345	743	100.00	53.00	10.70
NM_021273	Ckb	124	1270	1478	1146	124	208	100.00	5548.95	1222.39
NM_011289	Rpl27	214	625	734	411	214	109	100.00	866.00	624.72
NM_009631	Adora3	379	1339	2372	960	379	1033	100.00	7.00	1.87
NM_001013024	Usp13	85	2662	4686	2577	85	2024	100.00	45.00	4.21
NM_139222	Defb15	34	274	331	240	34	57	100.00	1.00	1.53
NM_001160385	Tmem196	512	1043	3707	531	512	2664	100.00	16.00	8.42
NM_024435	Nts	95	605	1180	510	95	575	100.00	97.00	53.56
NM_027179	Tecr	137	1019	1129	882	137	110	65.54	1404.06	412.13
NM_030609	Hist1h1a	49	691	745	642	49	54	100.00	78.75	33.13
NM_183270	Coa4	103	367	834	264	103	467	100.00	12.00	15.88
NM_030254	Tusc3	196	1133	1133	937	196	0	100.00	1319.00	362.08
NM_028138	Thumpd2	25	1612	1856	1587	25	244	100.00	19.00	2.95
NM_016739	Caprin1	178	2302	6156	2124	178	3854	33.20	316.74	36.26
NM_144526	Fam64a	66	762	1466	696	66	704	100.00	4.00	1.53
NM_008485	Lamc2	308	3890	5164	3582	308	1274	100.00	18.00	1.20
NM_001035510	Zcchc18	1041	2223	3327	1182	1041	1104	33.33	416.01	88.63
NM_025597	Ndufb3	276	591	750	315	276	159	100.00	533.00	547.02
NM_175537	Zbtb38	484	4078	4091	3594	484	13	100.00	181.00	12.03
NM_030112	Rtf1	0	2148	4664	2148	0	2516	100.00	382.00	43.22
NM_001114124	Dab2ip	179	3749	6518	3570	179	2769	78.96	94.48	6.32
NM_001276315	Cdkl2	541	2236	4243	1695	541	2007	50.00	44.50	6.45
NM_001040435	Tacc3	601	2494	2649	1893	601	155	100.00	3.00	0.39
NM_001170705	Dthd1	13	2401	2437	2388	13	36	100.00	2.00	0.20
NM_008575	Mdm4	277	1747	7298	1470	277	5551	50.00	43.00	7.25
NM_030702	Senp3	319	2026	2442	1707	319	416	50.00	50.50	7.27
NM_011068	Pex11a	60	801	879	741	60	78	100.00	14.00	5.00
NM_011214	Ptpru	122	4433	5474	4311	122	1041	100.00	138.00	7.62
NM_031393	Sytl1	139	1846	1925	1707	139	79	100.00	1.00	0.14
NM_026908	Cab39l	285	1299	3037	1014	285	1738	100.00	158.00	39.77
NM_001109748	Tomm40	175	1261	1666	1086	175	405	50.00	141.50	33.05
NM_033613	Dxo	229	1423	1472	1194	229	49	50.00	14.50	3.06
NM_023740	Zdhhc16	345	1431	1838	1086	345	407	100.00	31.00	7.24
NM_001205082	Scarb1	212	1733	2392	1521	212	659	77.07	57.72	9.39
NM_001039084	Mrpl1	48	879	1579	831	48	700	69.91	67.11	21.05
NM_145478	Pim3	474	1455	2419	981	474	964	100.00	58.00	15.14
NM_001159419	Sidt1	310	2808	4265	2498	310	1457	68.45	172.16	16.65
NM_010341	Nmur1	0	1218	1218	1218	0	0	100.00	2.00	0.41
NM_172145	Eva1b	657	1152	1363	495	657	211	100.00	4.00	2.29
NM_007987	Fas	56	1040	1486	984	56	446	64.81	5.64	1.47
NM_001204129	C1qtnf1	116	962	4393	846	116	3431	33.33	2.33	0.72
NM_134048	Cbll1	81	1554	4004	1473	81	2450	81.99	84.75	14.26
NM_145578	Ube2m	249	801	1295	552	249	494	63.86	345.43	173.49
NM_001163138	Card6	57	3585	4531	3528	57	946	100.00	9.00	0.61
NM_001272064	Trim24	300	3354	6089	3054	300	2735	75.77	90.92	7.15
NM_010270	Mrps33	99	420	1052	321	99	632	69.31	390.31	390.27
NM_001286948	Pla2g12a	113	593	1630	480	113	1037	53.38	36.30	21.58
NM_019932	Pf4	147	465	588	318	147	123	100.00	5.00	5.06
NM_027153	Pir	280	1153	1601	873	280	448	100.00	28.00	8.31
NM_028814	2810403A07Rik	56	1895	2999	1839	56	1104	100.00	152.00	20.23
NM_010487	Elavl3	425	1529	5027	1104	425	3498	100.00	763.98	175.26
NM_178079	Pm20d1	23	1535	3540	1512	23	2005	100.00	8.00	1.31
NM_183308	Pon2	88	1153	1850	1065	88	697	100.00	215.00	51.29
NM_001024468	Bcat1	43	1405	7833	1362	43	6428	71.19	291.61	53.35
NM_134158	AF251705	333	1020	1139	687	333	119	100.00	6.00	2.33
NM_019683	Ankrd49	147	864	2394	717	147	1530	100.00	42.00	15.56
NM_001161627	Tmem116	42	1137	1364	1095	42	227	100.00	14.00	3.24
NM_025379	Cox7b	131	374	1001	243	131	627	100.00	1448.00	2175.88
NM_027410	Tecpr1	94	3595	4164	3501	94	569	100.00	225.00	15.37
NM_008722	Npm1	227	1106	1422	879	227	316	100.00	858.00	252.80
NM_029934	Mboat7	788	2210	2880	1422	788	670	100.00	435.00	76.00
NM_029791	Bicd2	122	2585	4635	2463	122	2050	58.13	35.46	3.48
NM_001110218	Ppm1h	424	1966	6387	1542	424	4421	52.32	77.11	12.36
NM_027349	Rbm25	199	2716	4244	2517	199	1528	100.00	406.00	38.96
NM_008129	Gclm	429	1254	2072	825	429	818	100.00	210.00	66.41
NM_009391	Ran	134	785	2288	651	134	1503	100.00	1168.83	483.82
NM_001301689	Cep63	143	1934	2210	1791	143	276	100.00	31.00	4.24
NM_029937	Nup210l	35	5681	5681	5646	35	0	100.00	1.00	0.04
NM_001291034	Mapk7	388	2809	3114	2421	388	305	50.00	11.50	1.15
