transcript_id	cds_start	cds_stop	transcript_length	cds_length	5utr_length	3utr_length
NM_027957	   175	   613	   905	   438	   175	   292
NM_001126046	   418	  1990	  2282	  1572	   418	   292
NM_198899	   175	  4831	  9029	  4656	   175	  4198
NM_001310517	    38	  1115	  2290	  1077	    38	  1175
NM_001013374	    38	  1082	  2257	  1044	    38	  1175
NM_001282010	   311	  2321	  3609	  2010	   311	  1288
NM_009918	   370	  2266	  3554	  1896	   370	  1288
NM_030266	   447	  3267	  5748	  2820	   447	  2481
NM_173870	   324	  1932	  7251	  1608	   324	  5319
NM_028096	   252	  3780	  4361	  3528	   252	   581
NM_001290801	   272	  1853	  7172	  1581	   272	  5319
NM_018872	   182	  5816	  6548	  5634	   182	   732
NM_001290797	   447	  3381	  5862	  2934	   447	  2481
NM_026913	   101	   851	  1229	   750	   101	   378
NM_198303	   280	  3931	  7797	  3651	   280	  3866
NM_001290814	   103	  3793	  7251	  3690	   103	  3458
NM_001145660	    47	  1838	  2000	  1791	    47	   162
NM_018775	   181	  3586	  4439	  3405	   181	   853
NM_008719	   496	  2947	  4180	  2451	   496	  1233
NM_008362	   224	  1955	  4739	  1731	   224	  2784
NM_010555	    92	  1325	  1344	  1233	    92	    19
NM_001252202	   317	  3944	  5542	  3627	   317	  1598
NM_001252201	   317	  3983	  5581	  3666	   317	  1598
NM_008696	   317	  4022	  5620	  3705	   317	  1598
NM_001252200	   317	  4184	  5782	  3867	   317	  1598
NM_001033289	   162	  2607	  3493	  2445	   162	   886
NM_023514	    59	  1232	  1419	  1173	    59	   187
NM_010879	   456	  1599	  2775	  1143	   456	  1176
NM_026430	     0	  1263	  1263	  1263	     0	     0
NM_028450	   246	  1161	  2976	   915	   246	  1815
NM_011729	   319	  3832	  4010	  3513	   319	   178
NM_007737	   368	  4862	  6615	  4494	   368	  1753
NM_001310335	    95	 12170	 12282	 12075	    95	   112
NM_019790	   425	  1550	  3339	  1125	   425	  1789
NM_010863	   227	  3551	  4966	  3324	   227	  1415
NM_001081081	   240	  2265	  4973	  2025	   240	  2708
NM_001161817	   227	  3638	  5053	  3411	   227	  1415
NM_011487	   490	  2737	  2990	  2247	   490	   253
NM_001308266	   162	  2409	  2662	  2247	   162	   253
NM_001290982	   227	  3464	  4879	  3237	   227	  1415
NM_133728	   445	  2329	  2442	  1884	   445	   113
NM_133829	   347	  2732	  4769	  2385	   347	  2037
NM_178081	   347	  2675	  3349	  2328	   347	   674
NM_001290984	   445	   898	  1011	   453	   445	   113
NM_153556	   163	  2917	  3062	  2754	   163	   145
NM_030025	   146	  3479	  3807	  3333	   146	   328
NM_172655	    94	   979	  1130	   885	    94	   151
NM_001001883	    94	  4831	 11179	  4737	    94	  6348
NM_029267	   150	  1032	  1032	   882	   150	     0
NM_001081433	   221	  3203	  6140	  2982	   221	  2937
NM_001113367	   604	  1087	  1087	   483	   604	     0
NM_028713	   523	  2026	  3676	  1503	   523	  1650
NM_139146	   282	  2484	  5286	  2202	   282	  2802
NM_001081181	   225	  1101	  1325	   876	   225	   224
NM_023617	   123	  4131	  4360	  4008	   123	   229
NM_009676	    48	  4050	  4382	  4002	    48	   332
NM_144882	   261	  1998	  3932	  1737	   261	  1934
NM_001164566	   135	  1809	  3743	  1674	   135	  1934
NM_025597	   276	   591	   750	   315	   276	   159
NM_001008419	    93	  4131	  4776	  4038	    93	   645
NM_022988	   507	  1638	  2589	  1131	   507	   951
NM_001033449	    82	  1324	  1868	  1242	    82	   544
NM_001037812	    71	  1283	  1823	  1212	    71	   540
NM_172656	   375	  1632	  2317	  1257	   375	   685
NM_027407	   333	  1629	  3685	  1296	   333	  2056
NM_001316695	    60	   393	   889	   333	    60	   496
NM_001198570	   184	  1648	  4804	  1464	   184	  3156
NM_001198571	   184	  1627	  5875	  1443	   184	  4248
NM_198127	   184	  1525	  5773	  1341	   184	  4248
NM_173444	   328	  8395	 12108	  8067	   328	  3713
NM_001316694	    70	  1366	  3422	  1296	    70	  2056
NM_001045513	   201	  4002	  9117	  3801	   201	  5115
NM_001077407	   888	  3594	  4696	  2706	   888	  1102
NM_010939	   888	  3633	  6688	  2745	   888	  3055
NM_001077404	   888	  3669	  6724	  2781	   888	  3055
NM_001077406	   888	  3609	  4711	  2721	   888	  1102
NM_001077403	   888	  3684	  6739	  2796	   888	  3055
NM_001077405	   888	  3618	  6673	  2730	   888	  3055
NM_011780	   320	  2810	  6255	  2490	   320	  3445
NM_001285937	   521	  8018	 12648	  7497	   521	  4630
NM_001285936	   578	  8075	 12705	  7497	   578	  4630
NM_028673	   509	  7991	 12621	  7482	   509	  4630
NM_001160039	   346	  2530	  2769	  2184	   346	   239
NM_001160040	   400	  2584	  2823	  2184	   400	   239
NM_145518	   242	  2426	  2665	  2184	   242	   239
NM_001160038	   504	  2688	  2927	  2184	   504	   239
NM_029696	    26	  1529	  1711	  1503	    26	   182
NM_001267872	   459	  7941	 12571	  7482	   459	  4630
NM_001039493	   360	  2646	  8562	  2286	   360	  5916
NM_033563	   388	  1294	  1336	   906	   388	    42
NM_001310624	   158	  6452	 11390	  6294	   158	  4938
NM_011086	   158	  6317	 11255	  6159	   158	  4938
NM_175510	     0	  9981	 13533	  9981	     0	  3552
NM_007381	    60	  1353	  1948	  1293	    60	   595
NM_008632	   447	  1851	  5427	  1404	   447	  3576
NM_001039934	   447	  1944	  5520	  1497	   447	  3576
NM_001310634	   585	  6072	  9648	  5487	   585	  3576
NM_001310644	   185	   752	  2681	   567	   185	  1929
NM_001310643	   312	   795	  2724	   483	   312	  1929
NM_001310642	    76	   784	  2713	   708	    76	  1929
NM_025683	    76	   763	  2692	   687	    76	  1929
NM_011770	   282	  1863	  9421	  1581	   282	  7558
NM_001271533	    34	  1252	  3589	  1218	    34	  2337
NM_007525	   165	  2463	  5448	  2298	   165	  2985
NM_177164	   804	  1473	  4655	   669	   804	  3182
NM_001310658	   804	  1224	  4509	   420	   804	  3285
NM_026195	   100	  1879	  2611	  1779	   100	   732
NM_001045533	  1427	  2657	  4187	  1230	  1427	  1530
NM_018817	   246	  2979	  6715	  2733	   246	  3736
NM_001289895	     2	  5606	  9905	  5604	     2	  4299
NM_027884	     0	  5667	  9966	  5667	     0	  4299
NM_001039509	    37	  1195	  2956	  1158	    37	  1761
NM_029342	     0	   498	   846	   498	     0	   348
NM_010043	   126	  1536	  3065	  1410	   126	  1529
NM_029888	   499	  5722	  6174	  5223	   499	   452
NM_001310668	   499	  6031	  6483	  5532	   499	   452
NM_007936	    57	  3018	  6328	  2961	    57	  3310
NM_001004173	    73	  1138	  3998	  1065	    73	  2860
NM_026713	   123	  1131	  1206	  1008	   123	    75
NM_008781	   387	  1827	  3868	  1440	   387	  2041
NM_001159520	   387	  1842	  3376	  1455	   387	  1534
NM_001285927	   157	  6685	  7324	  6528	   157	   639
NM_009255	   177	  1371	  2055	  1194	   177	   684
NM_172849	   593	  2807	  4906	  2214	   593	  2099
NM_001122685	   327	  1275	  3688	   948	   327	  2413
NM_007735	   351	  5400	  7808	  5049	   351	  2408
NM_007734	   424	  5434	  8609	  5010	   424	  3175
NM_029777	   149	  1097	  3510	   948	   149	  2413
NM_172430	   189	  5166	  6512	  4977	   189	  1346
NM_152915	   493	  2707	  3632	  2214	   493	   925
NM_133975	   125	  6203	  9632	  6078	   125	  3429
NM_001003948	   275	   929	  2667	   654	   275	  1738
NM_030194	   183	  1521	  1914	  1338	   183	   393
NM_175397	   209	  1547	  1940	  1338	   209	   393
NM_177055	   136	   826	  1936	   690	   136	  1110
NM_027456	   101	  2102	  2197	  2001	   101	    95
NM_001310702	   101	  2558	  5160	  2457	   101	  2602
NM_030184	   101	  2555	  5157	  2454	   101	  2602
NM_027357	   171	  3033	  3256	  2862	   171	   223
NM_001198573	   133	  3841	  5316	  3708	   133	  1475
NM_001110192	   177	  3750	  4937	  3573	   177	  1187
NM_001110212	   202	  4060	  5725	  3858	   202	  1665
NM_028889	    86	   809	  1805	   723	    86	   996
NM_001110193	   177	  3570	  4757	  3393	   177	  1187
NM_146112	   202	  4078	  5743	  3876	   202	  1665
NM_001111314	   256	  2389	  3114	  2133	   256	   725
NM_009118	   372	  1584	  1718	  1212	   372	   134
NM_010566	   177	  3753	  4940	  3576	   177	  1187
NM_001033291	   133	  3574	  5049	  3441	   133	  1475
NM_201643	    40	  1630	  3208	  1590	    40	  1578
NM_201410	   123	  1719	  2293	  1596	   123	   574
NM_145079	   128	  1724	  3302	  1596	   128	  1578
NM_134252	   178	  3493	  3844	  3315	   178	   351
NM_201642	   120	  1716	  3294	  1596	   120	  1578
NM_013701	    26	  1628	  3206	  1602	    26	  1578
NM_178119	   619	  3193	  9581	  2574	   619	  6388
NM_001037136	   619	  3034	  9422	  2415	   619	  6388
NM_029122	   226	  2716	  3210	  2490	   226	   494
NM_001159725	   163	   808	  1559	   645	   163	   751
NM_001243009	   254	  8288	  9020	  8034	   254	   732
NM_008998	   394	  1039	  1790	   645	   394	   751
NM_008515	   214	  2101	  2849	  1887	   214	   748
NM_001111312	    71	  1358	  2106	  1287	    71	   748
NM_001111311	   214	  2404	  3662	  2190	   214	  1258
NM_001310732	   214	  2206	  2954	  1992	   214	   748
NM_001243008	   254	 10109	 10841	  9855	   254	   732
NM_207225	   301	  3532	  8100	  3231	   301	  4568
NM_027551	   136	  1882	  3020	  1746	   136	  1138
NM_008440	   171	  5265	  8267	  5094	   171	  3002
NM_001110315	   171	  5241	  8243	  5070	   171	  3002
NM_001294149	   171	  5268	  8270	  5097	   171	  3002
NM_001294150	    59	  5156	  8158	  5097	    59	  3002
NM_001310428	   302	  5219	  7428	  4917	   302	  2209
NM_025920	   305	  2015	  2160	  1710	   305	   145
NM_001310767	   297	  1971	  3506	  1674	   297	  1535
NM_145519	   109	  3307	  3912	  3198	   109	   605
NM_133808	   307	  4114	  6347	  3807	   307	  2233
NM_178882	   102	  1710	  3245	  1608	   102	  1535
NM_001310761	    66	   564	   709	   498	    66	   145
NM_028942	   129	  2250	  2433	  2121	   129	   183
NM_172658	    62	  2231	  2394	  2169	    62	   163
NM_027584	    82	  2134	  2328	  2052	    82	   194
NM_001310773	    91	  1381	  2518	  1290	    91	  1137
NM_133825	   301	   925	  2738	   624	   301	  1813
NM_001164233	    82	  2035	  2195	  1953	    82	   160
NM_013626	   450	  3387	  4103	  2937	   450	   716
NM_026250	    91	  1648	  2785	  1557	    91	  1137
NM_172851	     0	  3879	  5120	  3879	     0	  1241
NM_013784	   399	  3195	  6777	  2796	   399	  3582
NM_009741	  1410	  2121	  7209	   711	  1410	  5088
NM_133821	   135	  5199	  6104	  5064	   135	   905
NM_001081125	   349	  4984	  6708	  4635	   349	  1724
NM_019933	   187	  2968	  4706	  2781	   187	  1738
NM_001115074	     0	  2511	  2511	  2511	     0	     0
NM_001012322	   277	  1672	  1922	  1395	   277	   250
NM_001311077	   277	  1621	  1871	  1344	   277	   250
NM_029955	   149	  2036	  7253	  1887	   149	  5217
NM_001025156	   149	  2039	  7256	  1890	   149	  5217
NM_028787	   229	  1804	  2597	  1575	   229	   793
NM_172484	   441	  5967	  7074	  5526	   441	  1107
NM_176957	   376	  1597	  2966	  1221	   376	  1369
NM_001081756	   376	  6106	  7213	  5730	   376	  1107
NM_028135	   392	  1259	  2517	   867	   392	  1258
NM_145128	   634	  2857	  3104	  2223	   634	   247
NM_028399	    64	  2236	  3514	  2172	    64	  1278
NM_001081078	    15	  5811	  6174	  5796	    15	   363
NM_001285945	    75	  3297	  4085	  3222	    75	   788
NM_181750	   427	  3835	  4812	  3408	   427	   977
NM_027678	   226	  3436	  4224	  3210	   226	   788
NM_144960	    48	  1656	  1743	  1608	    48	    87
NM_007827	    85	  1288	  1368	  1203	    85	    80
NM_001170632	    48	  1824	  1911	  1776	    48	    87
NM_001317361	    85	   949	  1029	   864	    85	    80
NM_001081011	   718	  3934	  8040	  3216	   718	  4106
NM_018750	    48	  1290	  3405	  1242	    48	  2115
NM_001313731	    48	  1014	  3308	   966	    48	  2294
NM_177129	   303	  3426	  9535	  3123	   303	  6109
NM_001160317	   326	  3851	  9581	  3525	   326	  5730
NM_010732	   539	  2732	  3346	  2193	   539	   614
NM_182716	   326	  4049	  9779	  3723	   326	  5730
NM_178874	   203	  2324	  3515	  2121	   203	  1191
NM_001160318	   427	  3901	  9631	  3474	   427	  5730
NM_001033250	    92	   482	   983	   390	    92	   501
NM_001311102	    96	   708	  1132	   612	    96	   424
NM_001311104	    92	   398	  1054	   306	    92	   656
NM_001311107	   444	  2331	  3522	  1887	   444	  1191
NM_001311103	   289	   637	  1061	   348	   289	   424
NM_001160268	   140	  3350	  7085	  3210	   140	  3735
NM_182930	   140	  3662	  7397	  3522	   140	  3735
NM_001042485	   129	  1254	  3166	  1125	   129	  1912
NM_177081	   118	  1198	  3264	  1080	   118	  2066
NM_153128	   141	  1767	  3182	  1626	   141	  1415
NM_020588	   129	  1257	  3169	  1128	   129	  1912
NM_009307	   381	  1650	  3386	  1269	   381	  1736
NM_001081307	   158	  3137	  3137	  2979	   158	     0
NM_152895	   161	  4796	  6300	  4635	   161	  1504
NM_001033409	   136	  3040	  3623	  2904	   136	   583
NM_001311136	   141	  1848	  3263	  1707	   141	  1415
NM_153774	    61	  3184	  6236	  3123	    61	  3052
NM_173437	    35	  5663	 12767	  5628	    35	  7104
NM_001329610	   251	  2933	  2933	  2682	   251	     0
NM_001268286	   137	  3530	  5177	  3393	   137	  1647
NM_011210	   137	  3602	  5249	  3465	   137	  1647
NM_001111316	    39	  3921	  5568	  3882	    39	  1647
NM_177397	    28	   385	  1887	   357	    28	  1502
NM_021605	   232	  1141	  4304	   909	   232	  3163
NM_133239	   166	  4384	  4702	  4218	   166	   318
NM_001166501	   160	  2461	  8205	  2301	   160	  5744
NM_181347	   251	  2327	  8071	  2076	   251	  5744
NM_001311148	   232	   838	  4095	   606	   232	  3257
NM_009888	   135	  3894	  4365	  3759	   135	   471
NM_001160304	    71	  2534	  2710	  2463	    71	   176
NM_001160303	    71	  2708	  2884	  2637	    71	   176
NM_001029977	    71	  2711	  2887	  2640	    71	   176
NM_001025575	    72	  1071	  1602	   999	    72	   531
NM_001159866	   123	  1110	  1848	   987	   123	   738
NM_019562	   123	  1113	  1851	   990	   123	   738
NM_001024720	   384	 17289	 18314	 16905	   384	  1025
NM_025819	   184	  2908	  3668	  2724	   184	   760
NM_001039644	   193	  2989	  6604	  2796	   193	  3615
NM_022018	   157	  2938	  3939	  2781	   157	  1001
NM_001311166	   193	  2935	  6550	  2742	   193	  3615
NM_001311165	   193	  2947	  6562	  2754	   193	  3615
NM_177756	   271	  2149	  4056	  1878	   271	  1907
NM_016846	   207	  2514	  4760	  2307	   207	  2246
NM_001346117	   434	  2846	  5092	  2412	   434	  2246
NM_010877	  1136	  2714	  3590	  1578	  1136	   876
NM_001346118	   431	  2843	  5089	  2412	   431	  2246
NM_001346119	   431	  2732	  4978	  2301	   431	  2246
NM_010683	   247	  5071	  7622	  4824	   247	  2551
NM_007842	   150	  4302	  4613	  4152	   150	   311
NM_009782	     1	  6823	 12697	  6822	     1	  5874
NM_010712	   150	  1323	  1851	  1173	   150	   528
NM_011273	   210	  2298	  7651	  2088	   210	  5353
NM_177838	   444	   951	  3892	   507	   444	  2941
NM_028250	   518	  1367	  1497	   849	   518	   130
NM_001145781	   518	   938	  1257	   420	   518	   319
NM_001159968	   221	  1889	  6887	  1668	   221	  4998
NM_009595	   262	  3811	 10714	  3549	   262	  6903
NM_001136104	   262	  3499	 10402	  3237	   262	  6903
NM_001159965	   221	  1994	  6992	  1773	   221	  4998
NM_023884	   161	  1934	  6932	  1773	   161	  4998
NM_001159966	   119	  1892	  6890	  1773	   119	  4998
NM_001159967	   221	  1916	  6914	  1695	   221	  4998
NM_001346967	   172	  3508	  3736	  3336	   172	   228
NM_001159986	   115	  3271	  4348	  3156	   115	  1077
NM_033354	   362	  3518	  4595	  3156	   362	  1077
NM_011931	   112	  2314	  5056	  2202	   112	  2742
NM_001205204	   279	  4188	  7224	  3909	   279	  3036
NM_007495	   279	  4164	  7200	  3885	   279	  3036
NM_001085376	     0	  5370	  8585	  5370	     0	  3215
NM_022312	   609	  4686	  5395	  4077	   609	   709
NM_001038621	   183	  1296	  6338	  1113	   183	  5042
NM_001024952	   439	  3832	 11011	  3393	   439	  7179
NM_172645	   289	  4054	  6308	  3765	   289	  2254
NM_172646	   211	  2791	  4590	  2580	   211	  1799
NM_001038619	   207	  2799	  7519	  2592	   207	  4720
NM_030071	   139	  2815	  2956	  2676	   139	   141
NM_001178038	    99	  1698	  1870	  1599	    99	   172
NM_201364	    61	  2773	  2910	  2712	    61	   137
NM_001293313	   297	  1485	  1737	  1188	   297	   252
NM_010629	   288	  2607	  4010	  2319	   288	  1403
NM_001143956	   177	  1029	  1053	   852	   177	    24
NM_138314	   300	  1488	  1740	  1188	   300	   252
NM_001305643	   288	  2670	  3944	  2382	   288	  1274
NM_028759	   236	  2867	  3305	  2631	   236	   438
NM_032005	   211	  1552	  2662	  1341	   211	  1110
NM_173029	   213	  5058	  5209	  4845	   213	   151
NM_031162	   148	   769	  1359	   621	   148	   590
NM_198932	    12	  2322	 12906	  2310	    12	 10584
NM_011137	    12	  2394	 12978	  2382	    12	 10584
NM_001113393	   148	   715	  2804	   567	   148	  2089
NM_001113392	   148	   682	  2713	   534	   148	  2031
NM_001113391	   148	   643	  1686	   495	   148	  1043
NM_025569	    54	   516	   635	   462	    54	   119
NM_030724	   253	  1039	  1337	   786	   253	   298
NM_001291509	   665	  1685	  6890	  1020	   665	  5205
NM_001291508	   665	  1709	  7050	  1044	   665	  5341
NM_183355	   665	  1958	  7163	  1293	   665	  5205
NM_008783	   665	  1709	  3869	  1044	   665	  2160
NM_177068	   390	  2631	  3095	  2241	   390	   464
NM_001109985	   485	  1997	  2973	  1512	   485	   976
NM_001081304	    70	  2041	  7463	  1971	    70	  5422
NM_027528	   464	  1280	  1533	   816	   464	   253
NM_022563	   177	  2742	  8290	  2565	   177	  5548
NM_172647	    80	   983	  2482	   903	    80	  1499
NM_007649	    39	   762	  1142	   723	    39	   380
NM_018729	   132	  1326	  3758	  1194	   132	  2432
NM_025557	   249	   456	  1575	   207	   249	  1119
